hand_no,Sayan,Sourjya,winner,ending_round
0,100,100,,-1
0,99,101,Sourjya,0
1,100,100,Sayan,0
2,99,101,Sourjya,0
3,100,100,Sayan,0
4,99,101,Sourjya,0
5,100,100,Sayan,0
6,99,101,Sourjya,0
7,100,100,Sayan,0
8,99,101,Sourjya,0
9,100,100,Sayan,0
10,99,101,Sourjya,0
11,100,100,Sayan,0
12,99,101,Sourjya,0
13,100,100,Sayan,0
14,99,101,Sourjya,0
15,100,100,Sayan,0
16,99,101,Sourjya,0
17,100,100,Sayan,0
18,99,101,Sourjya,0
19,100,100,Sayan,0
20,99,101,Sourjya,0
21,100,100,Sayan,0
22,99,101,Sourjya,0
23,100,100,Sayan,0
24,99,101,Sourjya,0
25,100,100,Sayan,0
26,99,101,Sourjya,0
27,100,100,Sayan,0
28,99,101,Sourjya,0
29,100,100,Sayan,0
30,99,101,Sourjya,0
31,100,100,Sayan,0
32,99,101,Sourjya,0
33,100,100,Sayan,0
34,99,101,Sourjya,0
35,100,100,Sayan,0
36,99,101,Sourjya,0
37,100,100,Sayan,0
38,99,101,Sourjya,0
39,100,100,Sayan,0
40,99,101,Sourjya,0
41,100,100,Sayan,0
42,99,101,Sourjya,0
43,100,100,Sayan,0
44,99,101,Sourjya,0
45,100,100,Sayan,0
46,99,101,Sourjya,0
47,100,100,Sayan,0
48,99,101,Sourjya,0
49,100,100,Sayan,0
50,99,101,Sourjya,0
51,100,100,Sayan,0
52,99,101,Sourjya,0
53,100,100,Sayan,0
54,99,101,Sourjya,0
55,100,100,Sayan,0
56,99,101,Sourjya,0
57,100,100,Sayan,0
58,99,101,Sourjya,0
59,100,100,Sayan,0
60,99,101,Sourjya,0
61,100,100,Sayan,0
62,99,101,Sourjya,0
63,100,100,Sayan,0
64,99,101,Sourjya,0
65,100,100,Sayan,0
66,99,101,Sourjya,0
67,100,100,Sayan,0
68,99,101,Sourjya,0
69,100,100,Sayan,0
70,99,101,Sourjya,0
71,100,100,Sayan,0
72,99,101,Sourjya,0
73,100,100,Sayan,0
74,99,101,Sourjya,0
75,100,100,Sayan,0
76,99,101,Sourjya,0
77,100,100,Sayan,0
78,99,101,Sourjya,0
79,100,100,Sayan,0
80,99,101,Sourjya,0
81,100,100,Sayan,0
82,99,101,Sourjya,0
83,100,100,Sayan,0
84,99,101,Sourjya,0
85,100,100,Sayan,0
86,99,101,Sourjya,0
87,100,100,Sayan,0
88,99,101,Sourjya,0
89,100,100,Sayan,0
90,99,101,Sourjya,0
91,100,100,Sayan,0
